source,location,translation
If you'd just stop your dancing Cramden...,SPELL.PAK\SPELL.EMC,
...and bring me what I asked for!,SPELL.PAK\SPELL.EMC,
Well Branson...,SPELL.PAK\SPELL.EMC,
You still have not given me the quill I need.,SPELL.PAK\SPELL.EMC,
For mystics with no magic left...,SPELL.PAK\SPELL.EMC,
...you all seem to have an awful lot.,SPELL.PAK\SPELL.EMC,
Malcolm's hold grows ever stronger...,SPELL.PAK\SPELL.EMC,
...and soon no spells of ours will work.,SPELL.PAK\SPELL.EMC,
"So take the scroll, and use it later.",SPELL.PAK\SPELL.EMC,
"Take the scroll, Random...",SPELL.PAK\SPELL.EMC,
...use it in your quests.,SPELL.PAK\SPELL.EMC,
Brynton...,SPELL.PAK\SPELL.EMC,
...solve your birthstones quest!,SPELL.PAK\SPELL.EMC,
Then return here.,SPELL.PAK\SPELL.EMC,
"What are you doing back here, Burton?",SPELL.PAK\SPELL.EMC,
You must find Zanthia in Faeriewood.,SPELL.PAK\SPELL.EMC,
"Welcome back, Branson.",SPELL.PAK\SPELL.EMC,
"Hello again, Darm.",SPELL.PAK\SPELL.EMC,
You'd better get back to Faeriewood and complete your quests!,SPELL.PAK\SPELL.EMC,
There is already a scroll there.,SPELL.PAK\SPELL.EMC,
Isn't this the trophy from last year's Kyrandia Days 3-leg relay race?,SPELL.PAK\SPELL.EMC,
I carried him.,SPELL.PAK\SPELL.EMC,
Don't touch those.,SPELL.PAK\SPELL.EMC,
He'll have a fit if he sees you.,SPELL.PAK\SPELL.EMC,
,FGOWEST.PAK\FGOWEST.EMC,
Dark forest,FGOWEST.PAK\FGOWEST.EMC,
,NCLIFFB.PAK\NCLIFFB.EMC,
A tall cliff,NCLIFFB.PAK\NCLIFFB.EMC,
,EXTPOT.PAK\EXTPOT.EMC,
FROG.WSA,EXTPOT.PAK\EXTPOT.EMC,
Are you hungry little fella?,EXTPOT.PAK\EXTPOT.EMC,
NO!,EXTPOT.PAK\EXTPOT.EMC,לא!
GULP,EXTPOT.PAK\EXTPOT.EMC,
Zanthia's dwelling,EXTPOT.PAK\EXTPOT.EMC,
A prince?,EXTPOT.PAK\EXTPOT.EMC,נסיך?
,PLATEAU.PAK\PLATEAU.EMC,
A scenic plateau,PLATEAU.PAK\PLATEAU.EMC,
,GEM.PAK\GEM.EMC,
LIFTDOWN.WSA,GEM.PAK\GEM.EMC,
"Ha, I'd like to see the gophers try to get to my flowers now.",GEM.PAK\GEM.EMC,"חה, נראה את החולדים האלה מנסים להגיע לפרחים שלי עכשיו."
My old sandbox makes a great planter.,GEM.PAK\GEM.EMC,ארגז החול הישן שלי נהדר בתור אדנית.
At least I won't have to wash the windows today.,GEM.PAK\GEM.EMC,לפחות אני לא צריך לנקות את החלונות היום.
"Nice, big sign...",GEM.PAK\GEM.EMC,שלט גדול וחביב...
...but I guess we should have used the boards to make a front door.,GEM.PAK\GEM.EMC,...אבל אולי היינו צריכים להשתמש בקרשים כדי לבנות דלת כניסה.
I'll leave this on.,GEM.PAK\GEM.EMC,אני אשאיר את זה דולק.
I don't suppose the moths will annoy him now.,GEM.PAK\GEM.EMC,לא נראה לי שהעשים יציקו לו עכשיו.
Outside Brandon's home,GEM.PAK\GEM.EMC,מחוץ לביתו של ברנדון
LIFTUP.WSA,GEM.PAK\GEM.EMC,
,NWCLIFB.PAK\NWCLIFB.EMC,
Hmm - I think I can almost see the castle from here.,NWCLIFB.PAK\NWCLIFB.EMC,
What a view!,NWCLIFB.PAK\NWCLIFB.EMC,איזה נוף!
,DRAGON.PAK\DRAGON.EMC,
SEALED.WSA,DRAGON.PAK\DRAGON.EMC,
The entrance is solid ice.,DRAGON.PAK\DRAGON.EMC,
HA HA HA,DRAGON.PAK\DRAGON.EMC,
What the heck is that?,DRAGON.PAK\DRAGON.EMC,
TOSS.WSA,DRAGON.PAK\DRAGON.EMC,
MALENTER.WSA,DRAGON.PAK\DRAGON.EMC,
SHUFFLE2.WSA,DRAGON.PAK\DRAGON.EMC,
JUGGLE.WSA,DRAGON.PAK\DRAGON.EMC,
JUGLTALK.WSA,DRAGON.PAK\DRAGON.EMC,
BEHIND.WSA,DRAGON.PAK\DRAGON.EMC,
JESTTALK.WSA,DRAGON.PAK\DRAGON.EMC,
BRANTALK.WSA,DRAGON.PAK\DRAGON.EMC,
"So, YOU'RE the hero thrown against me?",DRAGON.PAK\DRAGON.EMC,
Were there none to test me better?,DRAGON.PAK\DRAGON.EMC,
Do you believe in all Brynn's lies?,DRAGON.PAK\DRAGON.EMC,
Perhaps your MOTHER should assist you.,DRAGON.PAK\DRAGON.EMC,
"My mother is dead, sir.",DRAGON.PAK\DRAGON.EMC,
"But YOURS lives, for surely, SHE has dressed you!",DRAGON.PAK\DRAGON.EMC,
"Be careful, boy.  Do not insult a man with knives.",DRAGON.PAK\DRAGON.EMC,
Please move aside. I seek the cave.,DRAGON.PAK\DRAGON.EMC,
"Beware, young fool...",DRAGON.PAK\DRAGON.EMC,
...my grip may slip!,DRAGON.PAK\DRAGON.EMC,
DODGE.WSA,DRAGON.PAK\DRAGON.EMC,
No bother sir. You missed the mark.,DRAGON.PAK\DRAGON.EMC,
I do not miss...,DRAGON.PAK\DRAGON.EMC,
...except at will.,DRAGON.PAK\DRAGON.EMC,
"I must return your gift, kind sir.",DRAGON.PAK\DRAGON.EMC,
"I leave you now, and dodge your sorrow...",DRAGON.PAK\DRAGON.EMC,
...but I may NOT be nice tomorrow.,DRAGON.PAK\DRAGON.EMC,
FROZEN.WSA,DRAGON.PAK\DRAGON.EMC,
Now THAT'S scary!,DRAGON.PAK\DRAGON.EMC,
Which circus is HE from?,DRAGON.PAK\DRAGON.EMC,
This is solid ice!,DRAGON.PAK\DRAGON.EMC,
Serpent's Grotto,DRAGON.PAK\DRAGON.EMC,
,SONG.PAK\SONG.EMC,
Don't you want this?,SONG.PAK\SONG.EMC,
It's the closest thing to birdseed I've got.,SONG.PAK\SONG.EMC,
Why would a sick bird want that?,SONG.PAK\SONG.EMC,
That bird is definitely hurt...,SONG.PAK\SONG.EMC,
How can his wing bend like that?,SONG.PAK\SONG.EMC,
Yeech!,SONG.PAK\SONG.EMC,
What a messy housekeeper.,SONG.PAK\SONG.EMC,
Songbird's nest,SONG.PAK\SONG.EMC,
If I heal his wing...,SONG.PAK\SONG.EMC,
"...he'll have to give me a feather, won't he?",SONG.PAK\SONG.EMC,
SNGSPELL.WSA,SONG.PAK\SONG.EMC,
SONG1.WSA,SONG.PAK\SONG.EMC,
Hope this qualifies as a quill.,SONG.PAK\SONG.EMC,
One nut?,SONG.PAK\SONG.EMC,
,FORESTC.PAK\FORESTC.EMC,
Forest,FORESTC.PAK\FORESTC.EMC,
,POTION.PAK\POTION.EMC,
WAKEN.WSA,POTION.PAK\POTION.EMC,
Where am I?,POTION.PAK\POTION.EMC,
Oh my head!,POTION.PAK\POTION.EMC,
What am I doing here?,POTION.PAK\POTION.EMC,
Did you transport me magically?,POTION.PAK\POTION.EMC,
"You got hit on the head, and I dragged you in here.",POTION.PAK\POTION.EMC,
ZANBASIC.WSA,POTION.PAK\POTION.EMC,
BRANZAN.WSA,POTION.PAK\POTION.EMC,
LAUNDRY.WSA,POTION.PAK\POTION.EMC,
POUR.WSA,POTION.PAK\POTION.EMC,
Who are you?,POTION.PAK\POTION.EMC,
I am Zanthia.,POTION.PAK\POTION.EMC,
You must be Brandon.,POTION.PAK\POTION.EMC,
You were a child the last time I saw you.,POTION.PAK\POTION.EMC,
"So, what's in the cauldron?",POTION.PAK\POTION.EMC,
A potion for time travel?,POTION.PAK\POTION.EMC,
"No, this is my laundry.",POTION.PAK\POTION.EMC,
Oh!,POTION.PAK\POTION.EMC,
Did Darm and Brynn at least get all the gems activated on your amulet?,POTION.PAK\POTION.EMC,
I have two.,POTION.PAK\POTION.EMC,
Two!?,POTION.PAK\POTION.EMC,
Probably Healing and Will-O-Wisp!,POTION.PAK\POTION.EMC,
They said they didn't have much magic left.,POTION.PAK\POTION.EMC,
Nobody has much magic left!,POTION.PAK\POTION.EMC,
Can you help me?,POTION.PAK\POTION.EMC,
Why don't you just go up to the castle and give it a try with what you've got?,POTION.PAK\POTION.EMC,
Fine with me.,POTION.PAK\POTION.EMC,
"I'll go, but how will I get there?",POTION.PAK\POTION.EMC,
Didn't Darm do anything?,POTION.PAK\POTION.EMC,
He recommended I come see you.,POTION.PAK\POTION.EMC,
"Okay, I'll give you what I can, but I don't care if you are the Prince...",POTION.PAK\POTION.EMC,
...I'm not giving up my wardrobe spell or my enchanted aquarium!,POTION.PAK\POTION.EMC,
The Prince?,POTION.PAK\POTION.EMC,
Who's a Prince?,POTION.PAK\POTION.EMC,
THEY DIDN'T TELL YOU!!??,POTION.PAK\POTION.EMC,
I can't believe they would do this!,POTION.PAK\POTION.EMC,
"Listen Brandon, we're in trouble.",POTION.PAK\POTION.EMC,
Go to the Enchanted Fountain...,POTION.PAK\POTION.EMC,
...and fill a flask for me.,POTION.PAK\POTION.EMC,
I'll get things set up for your potions.,POTION.PAK\POTION.EMC,
"The fountain is ruined, and there is no water.",POTION.PAK\POTION.EMC,
Malcolm was there.,POTION.PAK\POTION.EMC,
"Let me explain, Brandon.",POTION.PAK\POTION.EMC,
"Without magic water, none of my potions are possible.",POTION.PAK\POTION.EMC,
This cauldron can mix up potions that when combined will give the ability to fly to the castle.,POTION.PAK\POTION.EMC,
"But you need the water, right?",POTION.PAK\POTION.EMC,
I'll find some.,POTION.PAK\POTION.EMC,
Maybe some splashed out...,POTION.PAK\POTION.EMC,
...or I can wring some out of the moss.,POTION.PAK\POTION.EMC,
Now what's this about a Prince?,POTION.PAK\POTION.EMC,
Bring the magic water from the fountain first...,POTION.PAK\POTION.EMC,
...and then we'll talk.,POTION.PAK\POTION.EMC,
"Thanks, Brandon...",POTION.PAK\POTION.EMC,
You are a Prince.,POTION.PAK\POTION.EMC,
THE Prince actually.,POTION.PAK\POTION.EMC,
Your parents were King William and Queen Katherine...,POTION.PAK\POTION.EMC,
Did you know Malcolm murdered them and seized the Kyragem?,POTION.PAK\POTION.EMC,
We had him locked in the castle.  But now he's loose.,POTION.PAK\POTION.EMC,
Malcolm!,POTION.PAK\POTION.EMC,
That old jester?,POTION.PAK\POTION.EMC,
"If I free the gem, can I get revenge?",POTION.PAK\POTION.EMC,
Will it give me powers?,POTION.PAK\POTION.EMC,
It will be difficult.,POTION.PAK\POTION.EMC,
I'm sure the vestments have been lost.,POTION.PAK\POTION.EMC,
Malcolm probably wears the crown.,POTION.PAK\POTION.EMC,
"You'll need luck, if nothing else.",POTION.PAK\POTION.EMC,
Are you Mystics powerless?,POTION.PAK\POTION.EMC,
Can't you free the Kyragem?,POTION.PAK\POTION.EMC,
Only you can do it now.,POTION.PAK\POTION.EMC,
The pact requires royal blood.,POTION.PAK\POTION.EMC,
What should I do?,POTION.PAK\POTION.EMC,מה עליי לעשות?
Let's mix a potion.,POTION.PAK\POTION.EMC,הבה נרקח שיקוי.
Go get some blueberries.,POTION.PAK\POTION.EMC,
CARPET.WSA,POTION.PAK\POTION.EMC,
"It looks thick, like blue syrup.",POTION.PAK\POTION.EMC,
This one looks dangerous.,POTION.PAK\POTION.EMC,
"A beautiful color, but what is it?",POTION.PAK\POTION.EMC,
Why would I want her laundry water?,POTION.PAK\POTION.EMC,
The concoction seems to be only half-complete.,POTION.PAK\POTION.EMC,
It smells like a strange combination of herbs and spices.,POTION.PAK\POTION.EMC,
This flask is already filled.,POTION.PAK\POTION.EMC,
I only use the freshest ingredients!,POTION.PAK\POTION.EMC,
Go get some fresh blueberries!,POTION.PAK\POTION.EMC,
This doesn't look like a blueberry!,POTION.PAK\POTION.EMC,
Hey!,POTION.PAK\POTION.EMC,היי!
Rats. I wish I could find one of her cookbooks.,POTION.PAK\POTION.EMC,
Fetch the magic water.,POTION.PAK\POTION.EMC,
Then we'll worry about ingredients.,POTION.PAK\POTION.EMC,
These blueberries are not freshly picked.,POTION.PAK\POTION.EMC,
I need fresh blueberries!,POTION.PAK\POTION.EMC,
This doesn't look like a blueberry,POTION.PAK\POTION.EMC,
Are you a donkey?,POTION.PAK\POTION.EMC,
Go get the magic water!,POTION.PAK\POTION.EMC,
We need the magic water Brandon.,POTION.PAK\POTION.EMC,
Did you bring it?,POTION.PAK\POTION.EMC,
What's this?  A cellar?,POTION.PAK\POTION.EMC,
ZANDOORD.WSA,POTION.PAK\POTION.EMC,
Ow!  That's hot!,POTION.PAK\POTION.EMC,
Zanthia's laboratory,POTION.PAK\POTION.EMC,
ZANDOORU.WSA,POTION.PAK\POTION.EMC,
,PLTCAVE.PAK\PLTCAVE.EMC,
A cavernous entrance,PLTCAVE.PAK\PLTCAVE.EMC,
,SPRING.PAK\SPRING.EMC,
A beautiful tulip.,SPRING.PAK\SPRING.EMC,
These look better than my garden.,SPRING.PAK\SPRING.EMC,
I've always loved tulips.,SPRING.PAK\SPRING.EMC,
I can't stop myself.,SPRING.PAK\SPRING.EMC,
I wonder if there's fish back under the ground?,SPRING.PAK\SPRING.EMC,
I'd hate to lose this in the spring.,SPRING.PAK\SPRING.EMC,
Someone should bottle this water and sell it!,SPRING.PAK\SPRING.EMC,
Quite a flow for such a small spring.,SPRING.PAK\SPRING.EMC,
Wonderful...,SPRING.PAK\SPRING.EMC,
...it's beautiful.,SPRING.PAK\SPRING.EMC,
That big rock on the bottom looks pretty.,SPRING.PAK\SPRING.EMC,
I wish I had time to soak my feet.,SPRING.PAK\SPRING.EMC,
,CLIFF.PAK\CLIFF.EMC,
A southern cliff,CLIFF.PAK\CLIFF.EMC,צוק דרומי
,EXTHEAL.PAK\EXTHEAL.EMC,
This window looks great at night when the temple candles are lit.,EXTHEAL.PAK\EXTHEAL.EMC,החלון הזה מרהיב ביופיו בלילה כשנרות המקדש דולקים.
That must be Brynn's mother.,EXTHEAL.PAK\EXTHEAL.EMC,זו בוודאי אמה של ברין.
The Temple of Kyrandia,EXTHEAL.PAK\EXTHEAL.EMC,מקדש קירנדיה
She wants me to get flowers?!,EXTHEAL.PAK\EXTHEAL.EMC,היא רוצה שאביא פרחים?!
Grandfather is a rock!,EXTHEAL.PAK\EXTHEAL.EMC,
"He needs help, not sympathy!",EXTHEAL.PAK\EXTHEAL.EMC,
,NWCLIFF.PAK\NWCLIFF.EMC,
A tall cliff,NWCLIFF.PAK\NWCLIFF.EMC,צוק גבוה
,SICKWIL.PAK\SICKWIL.EMC,
Hey!  No more dent.,SICKWIL.PAK\SICKWIL.EMC,
What's this?  A big dent?,SICKWIL.PAK\SICKWIL.EMC,מה זה? גומה גדולה?
Hey!,SICKWIL.PAK\SICKWIL.EMC,היי!
The teardrop fits!,SICKWIL.PAK\SICKWIL.EMC,
I would never cut this tree down!,SICKWIL.PAK\SICKWIL.EMC,
Ugh!,SICKWIL.PAK\SICKWIL.EMC,אוך!
Even the trunk is rotten.,SICKWIL.PAK\SICKWIL.EMC,אפילו הגזע הרקיב.
"Boy, this willow needs help.",SICKWIL.PAK\SICKWIL.EMC,"בחיי, הערבה הזו צריכה סיוע."
A rotting tree,SICKWIL.PAK\SICKWIL.EMC,עץ מרקיב
What happened?,SICKWIL.PAK\SICKWIL.EMC,מה קרה כאן?
This willow looks half dead!,SICKWIL.PAK\SICKWIL.EMC,הערבה הזו נראית חצי מתה!
I wonder if that Malcolm made this tree sick?,SICKWIL.PAK\SICKWIL.EMC,אני תוהה אם מלקולם גרם לעץ הזה לחלות?
Ugh.  Something sticky is oozing out.,SICKWIL.PAK\SICKWIL.EMC,"איכס,  נוטף משם משהו דביק."
,DARMS.PAK\DARMS.EMC,
This is the first time I've ever seen Darm standing up.,DARMS.PAK\DARMS.EMC,
"He didn't get Brandywine too, did he?",DARMS.PAK\DARMS.EMC,
It looks SO comfortable.,DARMS.PAK\DARMS.EMC,
It doesn't look like Darm had many things.,DARMS.PAK\DARMS.EMC,
I have nothing to light this with.,DARMS.PAK\DARMS.EMC,
Darm's unintelligible notes.,DARMS.PAK\DARMS.EMC,
Everything looks dead out there.,DARMS.PAK\DARMS.EMC,
I don't have time to sit and rest.,DARMS.PAK\DARMS.EMC,
A bedroom,DARMS.PAK\DARMS.EMC,
You're the Mystic...,DARMS.PAK\DARMS.EMC,
...But I'll give it try...,DARMS.PAK\DARMS.EMC,
,XEDGEC.PAK\XEDGEC.EMC,
The sawdust smells great!,XEDGEC.PAK\XEDGEC.EMC,
,BROKEN.PAK\BROKEN.EMC,
AARGH!,BROKEN.PAK\BROKEN.EMC,
"The bridge looks ruined, Herman.",BROKEN.PAK\BROKEN.EMC,
Huh?,BROKEN.PAK\BROKEN.EMC,
Aren't you going to fix it?,BROKEN.PAK\BROKEN.EMC,
"Sure, but I don't know how!",BROKEN.PAK\BROKEN.EMC,
I meant to replace the bad planks but you know how time flies by.,BROKEN.PAK\BROKEN.EMC,
I hope nobody important tried to cross.,BROKEN.PAK\BROKEN.EMC,
I could lose my job.,BROKEN.PAK\BROKEN.EMC,
Can't you just get some new planks and rope?,BROKEN.PAK\BROKEN.EMC,
NEEDSAW1.WSA,BROKEN.PAK\BROKEN.EMC,
I can get new rope.,BROKEN.PAK\BROKEN.EMC,
I just need to cut new planks!,BROKEN.PAK\BROKEN.EMC,
But I don't have anything to cut them with.,BROKEN.PAK\BROKEN.EMC,
I'll see what I can do.,BROKEN.PAK\BROKEN.EMC,
Sure.,BROKEN.PAK\BROKEN.EMC,
I'll get to work on cutting some wood for new planks.,BROKEN.PAK\BROKEN.EMC,
I hope he doesn't cut his leg off!,BROKEN.PAK\BROKEN.EMC,
That's a pretty old saw.,BROKEN.PAK\BROKEN.EMC,
It's the only musical instrument Grandfather knows how to play.,BROKEN.PAK\BROKEN.EMC,
"Uh, yeah...",BROKEN.PAK\BROKEN.EMC,
"Well, I guess I'll try to cut some new planks.",BROKEN.PAK\BROKEN.EMC,
"Thanks, Herman.",BROKEN.PAK\BROKEN.EMC,
I wonder if I can find something that will help him fix the bridge.,BROKEN.PAK\BROKEN.EMC,
I don't think that will help him fix the bridge.,BROKEN.PAK\BROKEN.EMC,
I wonder if I can make it across to the other side?,BROKEN.PAK\BROKEN.EMC,
That rope does look pretty chancy...,BROKEN.PAK\BROKEN.EMC,
...but I'll TAKE that chance!,BROKEN.PAK\BROKEN.EMC,
AGILE.WSA,BROKEN.PAK\BROKEN.EMC,
BALANCE2.WSA,BROKEN.PAK\BROKEN.EMC,
"Better to play it safe, I guess...",BROKEN.PAK\BROKEN.EMC,
But I still think I could have made it.,BROKEN.PAK\BROKEN.EMC,
"You know, Herman...",BROKEN.PAK\BROKEN.EMC,
I think I can make it across.,BROKEN.PAK\BROKEN.EMC,
I dunno Brandon.,BROKEN.PAK\BROKEN.EMC,
ADVICE.WSA,BROKEN.PAK\BROKEN.EMC,
All that's left is that thin rope...,BROKEN.PAK\BROKEN.EMC,
...and even that looks like it's about to go.,BROKEN.PAK\BROKEN.EMC,
Nonsense!,BROKEN.PAK\BROKEN.EMC,
You're not saying I'm clumsy are you?,BROKEN.PAK\BROKEN.EMC,
"I am quite agile, Herman!",BROKEN.PAK\BROKEN.EMC,
"I'm in charge here, and if anything happened to you, I'd get blamed!",BROKEN.PAK\BROKEN.EMC,
Hmm...,BROKEN.PAK\BROKEN.EMC,
"I'm gonna try it, Herman!",BROKEN.PAK\BROKEN.EMC,
Wait!,BROKEN.PAK\BROKEN.EMC,
At least let me get close so that if you fall in--,BROKEN.PAK\BROKEN.EMC,
Here I go!,BROKEN.PAK\BROKEN.EMC,
Oh No!,BROKEN.PAK\BROKEN.EMC,
Now they'll MAKE me fix the bridge!,BROKEN.PAK\BROKEN.EMC,
I guess I'll play it safe...,BROKEN.PAK\BROKEN.EMC,
"Thanks, Brandon.",BROKEN.PAK\BROKEN.EMC,
A ruined bridge,BROKEN.PAK\BROKEN.EMC,
It wasn't my fault!,BROKEN.PAK\BROKEN.EMC,
,WISE.PAK\WISE.EMC,
*COUGH*,WISE.PAK\WISE.EMC,
*COUGH*,WISE.PAK\WISE.EMC,
"Good morning, Nolby.",WISE.PAK\WISE.EMC,
*HACK*,WISE.PAK\WISE.EMC,
*WHEEZE*,WISE.PAK\WISE.EMC,
I'm busy.,WISE.PAK\WISE.EMC,
Go away.,WISE.PAK\WISE.EMC,
Go pester the Mystic.,WISE.PAK\WISE.EMC,
"Enlighten Darm with your presence, not me.",WISE.PAK\WISE.EMC,
Your mumbling distracts me.,WISE.PAK\WISE.EMC,
Please leave and go.,WISE.PAK\WISE.EMC,
"I need a quill, sir.",WISE.PAK\WISE.EMC,
Can you direct me?,WISE.PAK\WISE.EMC,
What for?,WISE.PAK\WISE.EMC,
*ACKACKACK*,WISE.PAK\WISE.EMC,
Darm requests it.,WISE.PAK\WISE.EMC,
I am collecting magic to fight Malcolm.,WISE.PAK\WISE.EMC,
I know of Malcolm.,WISE.PAK\WISE.EMC,
He scares the birds.,WISE.PAK\WISE.EMC,
"There is one songbird left, but...",WISE.PAK\WISE.EMC,
It is hurt and cannot sing.,WISE.PAK\WISE.EMC,
I'm sorry to hear that.,WISE.PAK\WISE.EMC,
But I still need a quill.,WISE.PAK\WISE.EMC,
"If you would harvest, you must sow!",WISE.PAK\WISE.EMC,
*WHEEZE*,WISE.PAK\WISE.EMC,
Are these my new shoes?,WISE.PAK\WISE.EMC,
Excuse me.,WISE.PAK\WISE.EMC,
*COUGH* Harvest!,WISE.PAK\WISE.EMC,
Can't you see I'm trying to rest?,WISE.PAK\WISE.EMC,
